Ticker,Buy Date,Buy Price,% Below Lower Band,Sell Date,Sell Price,% Gain,Days Held
BLK,2024-01-31,748.1830444335938,2.0080912068284404,2024-02-22,785.9927368164062,5.0535350492252915,22
HST,2024-01-31,17.812116622924805,2.609588041760812,2024-02-21,18.729597091674805,5.150878405821637,21
ROK,2024-01-31,246.4752655029297,15.774772397633024,2024-03-07,287.5147705078125,16.650557175034265,36
GRMN,2024-01-31,116.50420379638672,3.5554292050806886,2024-02-21,130.2421417236328,11.791795900563173,21
CHRW,2024-01-31,80.7929458618164,2.905680788394984,2024-03-11,72.65513610839844,-10.072426084495556,40
IQV,2024-01-31,208.22999572753903,3.655655492407057,2024-02-14,243.47000122070312,16.92359708794034,14
MKTX,2024-01-31,221.03990173339844,16.440493690055234,2024-03-11,219.4725341796875,-0.7090880612141139,40
UPS,2024-01-31,131.30014038085938,9.457224063972856,2024-03-06,142.737548828125,8.710888209326654,35
TER,2024-01-31,95.94654846191406,8.37471959766176,2024-03-01,105.29906463623048,9.74763170144562,30
PODD,2024-01-31,190.8699951171875,4.789461112497827,2024-03-11,181.13999938964844,-5.097708375570075,40
ZBRA,2024-01-31,239.5500030517578,4.876870627679426,2024-02-15,283.75,18.451261275372318,15
PSA,2024-01-31,266.9418334960937,3.433647203005296,2024-03-08,276.3115234375,3.5100118324254406,37
MAA,2024-01-31,118.8935317993164,4.423377417898216,2024-03-07,124.82975769042967,4.992892213121554,36
CPT,2024-01-31,88.8036880493164,3.785427282775264,2024-03-06,92.99592590332033,4.720792509963996,35
LULU,2024-01-31,453.8200073242188,5.608534636459329,2024-03-11,457.760009765625,0.8681861482125821,40
FDX,2024-01-31,233.6431579589844,2.583486896080025,2024-02-29,241.0797576904297,3.182887869008672,29
VTR,2024-01-31,44.18866729736328,3.677241976280287,2024-03-11,42.41692733764648,-4.009489464332686,40
EMR,2024-01-31,89.25891876220703,3.1080724285512127,2024-02-07,101.2859344482422,13.474301339092076,7
AOS,2024-01-31,75.53834533691406,3.0583224167048795,2024-03-04,82.82840728759766,9.650809688997896,33
MET,2024-02-01,62.50894546508789,5.328969833707913,2024-03-07,68.80977630615234,10.07988663731906,35
PNC,2024-02-01,137.6278533935547,3.6730337580420587,2024-03-04,145.4820556640625,5.706840640788223,32
BXP,2024-02-01,59.861324310302734,6.229576047895943,2024-03-12,58.302677154541016,-2.6037632373152495,40
IP,2024-02-01,32.349693298339844,6.7887516660827165,2024-03-12,34.46259307861328,6.531436823179618,40
TECH,2024-02-01,68.05291748046875,4.2723928422476085,2024-03-12,73.67996215820312,8.268631068387835,40
AFL,2024-02-01,73.76966094970703,8.471224109415225,2024-03-06,80.04376220703125,8.504988604463874,34
